customerid,ordercount,totalspent
4632,127,294501.79
2874,107,294494.95
2787,121,294480.87
8246,121,294405.90
8307,125,294249.44
74,119,294244.67
4353,119,294207.04
6050,133,294196.89
3485,135,294035.16
72,123,294010.71
4861,126,293947.69
1061,121,293847.19
1145,126,293569.96
9859,121,293491.96
7086,121,293484.43
6175,107,293278.59
6921,119,293049.54
6312,121,292861.85
6788,123,292699.17
4373,120,292690.28
546,115,292629.77
4359,121,292599.25
8103,116,292552.49
709,112,292495.31
7023,114,292450.49
2080,113,292415.15
3553,115,292321.50
7974,126,292294.21
4463,113,292168.14
1819,131,291894.85
3259,120,291843.10
2458,117,291663.59
7337,116,291505.39
4634,114,291374.66
7910,117,291297.32
6066,115,291269.55
3219,121,291136.14
4268,109,291045.09
8449,124,290881.25
139,123,290813.26
3466,118,290746.46
6069,122,290626.19
7105,110,290612.80
5306,114,290535.05
8428,119,290501.30
552,114,290468.64
6552,115,290402.26
3899,120,290339.89
814,131,290240.72
7682,114,290207.00
8440,117,290189.21
7623,117,290158.33
3881,118,289949.67
2736,104,289881.89
5913,120,289864.73
2173,119,289788.70
9737,125,289782.29
2196,114,289775.41
5721,113,289682.63
2298,117,289620.99
4,113,289589.55
6841,108,289583.74
3573,112,289458.04
1406,114,289340.41
8527,126,289337.51
4533,120,289130.84
8019,123,289070.85
251,119,289046.60
49,122,289034.80
7718,117,289011.52
420,118,288879.83
8130,126,288798.70
9993,122,288750.84
3378,123,288686.33
4828,112,288419.85
1409,111,288398.88
4158,116,288386.32
5657,114,288385.00
1634,107,288279.32
4913,123,288214.23
1922,114,288192.82
3337,128,288147.37
980,111,288108.13
9732,122,288095.44
7209,112,288029.94
4887,108,287947.51
5409,123,287773.00
9458,108,287734.23
1037,126,287721.26
2994,116,287688.95
609,117,287573.55
8781,109,287526.23
2183,124,287500.29
507,119,287477.45
9391,112,287473.03
1198,113,287417.17
7252,133,287388.12
5677,114,287337.96
8514,116,287311.48
362,116,287273.86
408,126,287238.55
9463,112,287166.72
9461,118,287148.20
7043,106,287058.86
4768,115,287021.54
5883,110,286941.12
3441,114,286887.94
8799,111,286793.29
5508,113,286702.33
273,111,286565.03
3600,109,286411.75
6279,118,286378.48
5716,118,286374.59
4493,126,286301.49
9006,110,286212.45
6805,106,286128.52
9275,121,286074.53
7042,118,286071.65
4531,114,285966.78
1814,117,285888.59
659,113,285883.18
2750,115,285869.66
5933,117,285853.05
5983,119,285807.27
1066,113,285790.51
8885,110,285769.40
4377,118,285764.99
1831,118,285602.62
2118,112,285589.04
8590,123,285516.62
7603,124,285467.47
7253,132,285349.32
8603,121,285335.10
5004,126,285310.82
2235,114,285307.09
6894,116,285126.16
9347,117,285102.61
5190,112,285053.39
7993,111,284925.31
9994,105,284862.88
8074,120,284852.32
6457,112,284758.15
486,123,284755.17
7853,125,284739.55
9032,122,284718.97
4214,109,284704.98
9807,106,284675.08
5701,117,284659.21
3112,118,284656.39
4050,117,284559.36
7313,114,284535.83
5529,113,284501.95
4469,111,284452.04
2127,116,284251.45
4015,126,284246.08
2664,119,284059.70
2917,109,284048.26
9426,114,284030.27
2761,121,284020.83
8570,115,283972.56
9495,119,283859.96
8466,111,283823.88
3147,122,283823.40
783,118,283645.88
3080,111,283628.36
2107,116,283614.46
4059,108,283575.07
6121,127,283503.71
1996,126,283446.83
3265,109,283421.87
8168,115,283376.40
5867,111,283274.79
3997,119,283214.90
4199,118,283196.82
309,112,283054.03
5071,113,283026.92
8779,120,282957.97
9119,112,282931.83
778,110,282873.18
5688,110,282825.37
8357,117,282787.70
1548,125,282766.39
8706,123,282752.02
5412,117,282739.76
2983,127,282673.15
3824,113,282664.15
9685,116,282633.21
5862,109,282618.70
5652,111,282614.85
3760,115,282505.41
2962,111,282376.78
1685,116,282319.80
5528,116,282294.05
2632,116,282260.13
818,121,282249.86
759,115,282207.95
5213,118,282185.27
2680,125,282169.25
5219,112,282062.17
5188,132,281950.62
6268,116,281940.83
7332,115,281855.63
2959,112,281854.10
2999,121,281789.54
3476,119,281780.11
9869,110,281768.18
6567,113,281712.36
2623,124,281610.14
1763,111,281562.55
1047,108,281453.81
519,121,281433.37
6587,118,281423.56
5011,115,281378.23
9476,111,281328.05
7572,109,281267.41
9514,111,281263.84
6698,117,281247.96
5407,109,281225.73
5889,111,281170.79
4098,122,281156.68
5515,117,281150.25
1058,117,281116.76
3574,118,281113.52
9739,113,281089.90
3472,117,281028.83
2531,114,280986.57
8747,117,280984.97
8991,119,280938.67
4627,119,280920.23
577,110,280812.21
4675,107,280791.33
3791,111,280791.02
376,114,280746.51
1405,112,280745.68
9447,106,280716.62
9858,115,280630.16
9485,122,280629.76
2057,116,280623.67
7965,122,280592.58
7141,107,280564.49
4513,117,280557.18
7885,110,280552.85
5494,108,280551.79
5818,102,280487.45
6674,120,280482.17
3156,118,280421.76
5750,121,280349.51
9857,105,280325.45
9349,123,280323.57
2084,114,280313.92
4774,107,280310.68
669,113,280252.01
3693,120,280246.84
9452,114,280244.58
9272,114,280236.83
9297,111,280234.20
2169,118,280198.30
7256,113,280183.69
8452,115,280127.27
3235,122,280063.39
3994,116,280003.12
3617,120,279967.54
8582,109,279938.51
2985,114,279935.46
4396,116,279934.13
8878,107,279865.16
9280,120,279854.90
1652,125,279841.69
3903,106,279811.65
4083,113,279796.95
8203,120,279778.54
4097,113,279774.59
8741,105,279729.54
7437,112,279709.46
6004,121,279694.25
9097,116,279683.82
346,118,279670.79
952,108,279578.35
4447,108,279576.77
8579,121,279450.21
3867,109,279429.06
1537,117,279396.96
6147,101,279366.15
151,114,279363.53
7248,114,279339.76
8296,109,279318.85
6734,114,279276.20
729,112,279251.15
2884,129,279241.91
7315,131,279232.67
9431,111,279191.23
6801,107,279094.09
8844,126,279088.31
8143,115,279074.88
4339,110,279059.07
9602,113,279051.91
1566,121,279033.53
4772,111,278997.61
2049,110,278953.95
111,118,278860.99
2129,120,278843.21
1304,114,278833.74
7405,117,278807.56
335,112,278782.40
3632,119,278779.31
9733,115,278728.54
3372,114,278687.12
3489,121,278639.46
9402,118,278631.68
1923,116,278627.13
3247,120,278598.43
9923,113,278559.79
1033,118,278545.54
1325,126,278544.52
9660,121,278529.37
8435,116,278490.36
6374,112,278467.12
7261,111,278452.39
5041,115,278452.04
3218,111,278386.57
1812,114,278353.46
8659,111,278317.18
2322,106,278286.73
2659,113,278267.11
9144,118,278202.42
1960,113,278173.75
8803,123,278164.44
4119,113,278158.55
6419,111,278126.67
4262,119,278060.27
1529,115,278008.55
2224,111,277978.41
7228,116,277930.15
4733,116,277927.34
5369,112,277913.03
4230,114,277843.88
7167,111,277840.51
4508,119,277835.01
9448,116,277834.12
5803,119,277831.49
4755,117,277822.81
7670,121,277787.97
6585,119,277782.14
5052,105,277765.56
766,110,277750.89
4438,117,277746.94
1216,107,277721.95
4196,114,277715.12
7459,122,277585.65
4711,109,277561.89
1669,125,277556.91
6215,126,277526.16
978,116,277503.79
2162,115,277487.31
3809,110,277444.61
6482,120,277432.87
566,123,277432.19
2989,114,277394.12
7691,118,277347.31
7,108,277302.88
8095,126,277301.21
5467,115,277300.24
7460,111,277260.39
7414,111,277160.74
9375,119,277096.31
3291,111,277073.58
5776,123,277046.63
1269,116,277007.79
1526,126,276994.85
6773,111,276958.12
1152,117,276929.74
1651,117,276842.60
6003,122,276841.30
3236,109,276836.55
9535,115,276829.30
1846,105,276827.72
8643,124,276801.39
2769,121,276777.36
1999,116,276751.02
2115,115,276745.53
281,124,276734.28
4465,108,276692.70
2468,110,276683.51
8769,113,276667.91
3694,121,276638.03
639,125,276616.11
7924,118,276554.64
7364,123,276542.13
2030,118,276529.83
8544,119,276510.57
2296,113,276475.23
9793,116,276442.33
8523,109,276399.76
3189,111,276387.59
8897,115,276363.68
4380,118,276348.09
9335,113,276299.04
4693,120,276270.14
9363,114,276253.39
8782,115,276235.42
2113,111,276195.08
6477,116,276187.68
953,116,276146.44
1234,109,276123.92
1228,112,276123.24
6583,107,276122.75
1604,121,276107.74
7500,121,276096.92
9483,118,276052.04
1753,119,276048.56
3492,112,276038.87
5452,125,276017.63
3288,131,275989.58
1953,119,275988.70
3671,108,275951.07
4921,123,275943.99
9903,114,275890.18
3816,119,275877.65
6829,111,275863.57
3516,122,275861.14
4542,111,275847.07
8558,112,275845.08
2067,114,275834.30
9548,119,275830.50
7891,119,275815.59
2474,116,275808.66
6122,101,275756.30
2812,116,275723.79
992,107,275700.69
866,116,275680.33
2600,112,275679.79
4352,118,275676.17
4609,100,275675.66
7552,121,275649.54
3494,111,275644.01
563,119,275636.76
2956,121,275597.96
8984,122,275524.13
6098,117,275504.63
5437,105,275487.80
250,110,275482.29
3719,113,275410.77
2289,106,275347.53
6442,110,275323.09
993,116,275309.11
173,115,275298.42
394,111,275295.74
8152,116,275290.30
3904,121,275275.74
3781,118,275250.62
3434,112,275232.00
7564,106,275231.05
5151,110,275204.57
2290,130,275186.72
3741,127,275167.88
1370,116,275150.17
4387,112,275135.27
9586,113,275121.53
9604,104,275100.42
5823,107,275095.04
3313,112,275082.66
7592,109,275062.28
4422,102,275056.35
5380,117,275021.66
3835,110,275015.33
6577,99,274980.81
52,117,274979.93
1462,114,274935.40
434,120,274893.85
9192,118,274882.86
1023,104,274876.52
6495,111,274868.51
4697,111,274858.60
5384,113,274835.95
6525,112,274815.58
6846,116,274787.92
3498,103,274785.28
619,101,274736.67
7550,112,274705.42
472,113,274688.27
6816,114,274685.17
2490,112,274660.95
4153,111,274644.45
8485,105,274617.00
1486,109,274593.17
9108,112,274538.96
7490,112,274533.90
1225,114,274531.03
7828,109,274526.93
128,112,274497.86
474,117,274471.26
8509,104,274466.20
2719,113,274440.04
8287,119,274421.85
9756,108,274414.81
4894,119,274390.16
5874,113,274364.42
1746,114,274355.26
6292,120,274350.62
8506,119,274330.62
224,111,274280.75
7926,119,274242.74
2620,120,274186.90
4110,120,274139.51
3389,109,274130.40
6125,117,274129.71
6851,118,274123.50
9417,115,274115.68
7676,108,274081.79
7119,109,273983.02
5462,112,273978.29
265,112,273977.50
2650,105,273974.01
1916,110,273956.62
5793,104,273940.01
3918,108,273901.48
38,110,273889.88
6786,115,273849.67
3528,113,273848.04
9727,120,273841.74
2258,114,273841.43
5781,114,273822.11
9180,109,273815.19
8895,126,273788.22
8032,118,273751.73
7542,111,273680.50
7041,125,273663.32
1138,133,273630.56
3985,111,273608.88
7693,113,273571.99
955,123,273545.60
9623,109,273534.01
8546,120,273497.13
1925,107,273443.30
905,114,273416.74
3127,115,273389.17
7764,116,273386.89
7624,112,273384.18
8292,120,273376.38
970,104,273345.71
4985,111,273345.02
5141,113,273343.99
9755,114,273244.39
5127,122,273163.03
6795,107,273160.06
4345,116,273147.31
2172,115,273090.56
6156,108,273089.28
3541,118,273072.53
3827,120,273052.71
3224,107,272997.49
4295,115,272985.75
9369,122,272884.54
1769,115,272861.77
8812,111,272840.08
9286,123,272833.09
3934,105,272824.32
2772,125,272733.60
7227,110,272677.51
7171,106,272657.50
9137,114,272651.80
1025,111,272646.81
1031,105,272600.27
2566,115,272599.11
219,112,272548.46
5914,115,272527.02
8133,109,272515.61
5375,111,272514.78
2401,104,272499.65
2954,111,272493.86
3650,113,272493.35
516,114,272490.15
2188,104,272469.89
4970,115,272466.68
5250,103,272464.98
7635,109,272406.98
1719,112,272360.22
6793,112,272352.49
3722,108,272340.70
4892,115,272327.43
2875,115,272319.81
6671,107,272279.03
677,93,272267.84
2589,116,272255.86
5233,112,272206.15
1309,126,272205.46
334,115,272172.13
3686,119,272165.25
2426,117,272161.50
206,113,272156.99
199,119,272138.40
4534,103,272134.16
5346,114,272110.28
9367,117,272070.17
1284,121,272054.04
8840,107,272051.00
5457,112,272030.33
2717,112,272018.49
2791,114,272000.52
2469,120,271995.44
8092,113,271981.06
5724,110,271965.52
2442,113,271932.20
399,113,271927.13
9969,118,271908.99
1623,116,271859.53
2592,105,271858.25
4875,114,271857.13
4850,109,271842.40
9234,103,271795.74
7410,105,271756.21
6701,109,271750.52
8064,109,271713.33
9021,122,271683.17
5431,123,271630.07
3902,125,271560.68
2940,109,271550.01
7498,112,271548.68
4402,119,271548.04
5423,117,271530.23
2121,108,271516.60
1755,116,271492.04
7483,114,271477.74
3983,113,271457.34
7867,118,271447.82
7923,111,271441.32
7724,104,271430.02
1658,106,271416.90
8119,107,271400.36
3382,105,271361.42
3866,112,271346.91
119,106,271311.09
2514,111,271294.99
3088,111,271284.56
837,105,271276.24
8495,117,271219.51
3772,113,271202.27
1764,106,271202.06
8493,121,271177.12
8055,106,271166.61
5476,114,271164.75
9996,112,271131.32
4080,114,271109.08
1905,111,271105.71
2618,109,271105.59
1988,115,271099.24
7088,111,271086.44
891,115,271039.57
2363,119,271014.20
3405,121,270980.65
947,111,270975.69
8060,113,270935.95
7619,117,270918.23
914,119,270868.45
6705,113,270848.50
1307,106,270782.52
2847,107,270744.88
8762,111,270737.24
8171,107,270731.94
2888,117,270637.72
4641,108,270628.95
9914,110,270580.09
1907,113,270553.81
8535,104,270551.40
3646,107,270543.42
4796,115,270500.11
786,108,270469.74
1177,112,270455.68
7745,105,270453.36
7678,104,270449.40
5411,112,270403.62
6323,113,270391.41
9616,118,270376.86
6901,122,270362.75
7671,111,270362.72
4963,108,270337.81
816,111,270329.89
2425,115,270310.90
1468,115,270306.67
4496,106,270300.73
8102,108,270284.24
5236,112,270249.86
3896,110,270248.88
547,117,270235.41
9711,114,270233.45
6526,112,270227.68
7982,115,270225.01
5207,106,270198.25
5137,109,270197.46
3262,105,270186.00
6722,123,270114.22
5326,117,270111.46
4154,115,270089.46
3323,104,270086.20
7839,116,270085.04
6834,119,270070.85
2731,130,270063.05
6639,121,270040.66
6395,105,270015.73
1847,104,270000.37
4029,112,269992.19
742,107,269939.91
180,107,269902.50
7666,106,269890.22
5801,105,269809.98
6606,97,269807.40
7942,115,269802.96
9059,98,269747.59
3402,109,269731.44
7782,107,269727.84
5847,104,269697.70
6814,110,269638.71
5119,115,269627.70
3422,106,269622.21
875,108,269594.11
1861,109,269570.40
2873,120,269556.91
3173,117,269513.22
164,124,269485.52
6978,116,269441.34
2347,111,269389.39
3914,113,269386.21
6304,108,269369.37
3982,114,269282.82
5482,104,269156.73
3613,109,269140.06
9334,112,269134.48
5850,112,269103.05
3144,105,269004.95
6267,115,268990.44
6062,117,268938.27
4343,114,268936.58
1572,111,268844.82
1810,111,268839.86
1567,109,268839.59
5419,108,268838.18
2372,114,268834.58
6664,118,268769.55
6090,115,268758.19
4763,109,268740.45
9160,119,268737.08
3310,106,268720.36
5350,109,268710.85
2737,115,268683.12
4559,110,268658.94
7409,113,268657.10
2899,118,268564.23
8298,110,268563.54
8018,106,268554.79
3590,104,268552.35
3006,114,268540.96
5671,110,268495.34
6310,113,268494.09
4411,104,268445.96
3786,115,268440.13
3678,115,268435.92
6368,112,268420.14
7575,120,268391.73
2555,111,268375.32
8504,112,268363.42
1329,107,268360.01
1731,113,268342.86
3177,116,268335.53
5210,113,268310.10
2863,112,268309.74
5968,116,268299.90
1560,120,268280.10
9947,122,268238.39
3687,118,268206.23
2294,96,268188.65
7353,103,268180.26
8182,110,268142.21
3656,126,268083.18
3976,114,268075.78
5840,108,268069.07
2890,110,268064.43
9184,117,268051.23
8463,112,268026.19
6034,113,267953.02
3730,121,267932.07
2635,101,267910.24
9138,109,267878.56
2156,115,267863.26
8525,117,267862.17
922,112,267841.80
8617,114,267838.40
4645,109,267830.70
4112,111,267814.74
7730,102,267728.28
1745,112,267712.74
2328,112,267678.90
9466,108,267663.04
4809,111,267653.86
6446,103,267646.42
9935,117,267625.96
2960,108,267621.98
1010,106,267579.04
6148,102,267575.65
3544,104,267558.69
6610,107,267547.38
5242,120,267544.85
9,117,267515.08
963,106,267501.46
9825,110,267491.35
735,115,267476.38
1123,112,267476.34
5939,112,267436.03
5589,104,267427.75
6965,114,267427.66
5835,107,267399.70
6343,110,267337.25
6278,108,267272.31
5667,105,267243.58
1362,109,267242.73
4812,107,267232.13
2027,107,267219.89
5753,104,267210.64
8368,116,267199.92
7093,121,267198.20
4752,112,267197.69
8815,122,267195.96
8497,117,267187.54
1848,113,267173.50
8746,124,267159.06
6366,129,267145.78
5244,111,267128.38
8044,108,267077.04
6026,102,267060.28
9598,109,267030.40
4703,114,266995.24
2980,107,266983.34
470,113,266978.87
5247,119,266970.90
3520,112,266958.22
8531,125,266946.75
2128,108,266943.93
8140,108,266894.83
4960,108,266888.92
2153,116,266861.71
4452,112,266824.81
8330,113,266810.27
7881,105,266790.19
5197,107,266771.95
7590,115,266764.24
5572,119,266755.20
4523,116,266736.67
9721,104,266725.67
4374,120,266702.75
246,106,266694.30
5291,109,266691.03
3048,110,266689.11
7040,108,266678.85
4356,105,266676.56
558,125,266636.85
4131,109,266604.15
7994,114,266601.81
7681,108,266572.16
2316,115,266545.72
2763,103,266538.00
7123,108,266536.45
2291,108,266496.92
9049,121,266481.51
118,118,266480.80
7758,103,266458.87
8113,116,266457.90
9072,116,266445.45
561,105,266427.52
102,108,266426.37
3244,116,266404.61
987,101,266393.50
1263,107,266358.59
3702,111,266346.05
1889,118,266321.24
9764,99,266312.59
6218,113,266293.94
1139,113,266291.52
4793,117,266286.60
2869,111,266278.62
4737,106,266261.88
7755,109,266244.97
8938,120,266241.78
8310,109,266235.90
9552,116,266228.39
7244,107,266220.07
205,104,266152.45
7357,115,266102.04
2315,107,266100.17
9071,114,265995.54
2417,107,265983.27
6470,114,265978.34
4040,103,265974.66
7770,110,265967.36
382,106,265911.40
7602,117,265879.79
7179,120,265864.22
635,103,265862.43
422,113,265855.58
6735,114,265848.79
6835,116,265820.53
5942,111,265819.70
8117,108,265802.86
340,104,265774.21
4536,113,265740.27
5433,105,265687.41
7110,101,265664.18
4595,112,265661.38
9594,114,265626.70
6001,106,265617.23
5536,115,265597.72
5059,94,265572.16
1582,109,265560.21
7344,110,265529.26
8778,112,265527.53
308,101,265509.76
2673,123,265503.63
7013,110,265484.09
4867,103,265405.08
676,111,265372.40
5262,113,265370.06
2861,101,265367.30
9812,113,265335.67
9378,111,265313.01
2453,114,265311.16
2006,106,265295.70
6,109,265279.05
2334,113,265275.57
3335,107,265239.92
7032,102,265233.69
3561,106,265228.32
6464,108,265208.03
8943,117,265192.60
8729,99,265178.41
8761,110,265167.81
2332,102,265161.88
5138,104,265154.36
9633,107,265134.80
6413,113,265129.82
5770,108,265127.74
3070,124,265122.06
1065,107,265101.28
4134,109,265097.41
7622,106,265068.21
4957,107,265035.79
8237,117,265010.15
2013,116,265005.21
2014,118,264959.34
5922,114,264944.44
2525,112,264941.78
1630,105,264902.20
3709,110,264890.97
5063,110,264886.34
7465,109,264883.41
1355,119,264882.59
9898,110,264881.95
4567,120,264869.81
3099,106,264858.70
9181,108,264847.28
9778,111,264835.27
2942,105,264827.69
25,110,264806.40
8046,118,264785.85
1896,109,264749.43
4714,113,264727.07
9024,122,264711.67
7664,114,264689.93
5274,104,264635.53
8808,116,264606.71
2311,109,264588.03
2591,117,264562.23
9585,110,264545.79
1060,116,264542.28
1426,116,264506.41
6809,113,264504.97
465,112,264479.50
7689,109,264457.43
3795,107,264441.96
233,115,264420.70
7186,109,264386.24
7117,104,264363.00
5461,110,264327.07
1265,107,264252.25
8501,106,264234.79
20,114,264224.26
8361,112,264191.49
1088,111,264191.32
5164,112,264190.04
8327,105,264181.21
1986,117,264177.57
6935,122,264165.99
7899,116,264160.12
4516,106,264156.76
2205,97,264140.21
678,106,264140.10
5815,117,264116.43
4282,109,264113.20
1035,103,264041.07
9985,111,264032.08
3597,107,264030.27
7598,113,263972.48
3725,107,263961.38
3683,115,263960.84
8145,118,263955.27
6723,110,263909.28
9576,112,263906.37
4046,111,263889.54
8939,113,263872.26
5763,109,263868.32
4624,118,263861.04
3449,109,263822.25
5469,108,263821.33
6564,102,263819.88
8482,121,263805.90
1404,105,263773.38
5746,106,263729.75
3150,101,263727.67
8012,114,263720.62
1705,108,263713.03
2701,120,263708.01
9370,117,263704.66
9109,108,263694.14
9572,113,263673.25
3425,109,263669.22
1302,105,263651.22
3230,110,263641.53
6718,101,263635.80
2159,105,263629.31
9025,115,263621.37
8902,114,263619.09
8075,114,263598.64
4176,109,263585.57
7686,112,263579.47
6499,104,263572.14
3887,110,263563.92
5765,118,263552.37
6248,114,263543.54
1351,113,263524.06
2095,105,263489.52
3706,111,263487.76
3922,108,263467.37
9413,101,263452.30
770,113,263375.48
7368,114,263344.58
6085,113,263334.75
6866,98,263303.66
8224,111,263302.06
6028,107,263294.64
4518,115,263294.49
4152,104,263294.23
6250,106,263287.60
5421,109,263275.18
3783,120,263268.66
9258,109,263249.70
4684,113,263232.62
855,108,263227.67
7809,101,263210.54
3578,114,263182.63
5600,100,263182.29
5698,102,263181.95
3338,106,263172.40
9528,96,263160.20
4572,119,263135.82
252,110,263120.12
7969,116,263114.35
3872,109,263055.07
9911,105,263020.55
5556,109,262995.50
3233,113,262994.32
4811,123,262962.33
6633,97,262935.64
1090,114,262931.93
863,97,262927.98
3981,119,262927.73
6336,107,262912.62
4617,111,262911.93
6702,107,262910.20
6659,114,262905.71
8279,109,262888.97
9127,112,262878.67
7797,112,262843.38
7478,107,262796.33
9337,102,262748.69
3919,110,262744.96
7382,109,262725.14
1367,108,262701.76
5849,117,262690.67
3773,108,262676.85
5093,121,262676.60
7610,112,262664.06
3116,109,262639.17
3540,111,262604.96
747,114,262598.68
8787,117,262547.97
7609,116,262507.13
4064,104,262503.20
8545,101,262500.35
1193,112,262483.19
7747,102,262476.49
4944,113,262461.53
8864,109,262460.03
7084,113,262449.50
9304,117,262428.36
6578,108,262399.16
6467,105,262383.04
4468,108,262357.77
3905,114,262336.50
388,111,262304.95
7399,113,262303.92
9703,112,262297.40
6144,99,262257.66
8148,116,262244.97
3417,104,262222.10
9277,113,262183.35
3047,109,262180.00
1272,113,262173.08
5892,104,262159.83
5722,102,262145.67
7265,118,262144.99
6857,103,262141.51
9152,111,262119.95
6176,119,262111.04
9355,112,262073.48
4759,112,262047.64
3967,103,262032.85
8640,103,262025.99
7380,118,262023.06
64,107,262021.81
3700,105,261999.02
1807,110,261973.08
8107,112,261960.73
8150,108,261940.66
8138,103,261918.42
7075,116,261917.39
6505,108,261917.08
5887,109,261915.21
1793,105,261907.79
6992,111,261894.00
6523,118,261876.00
6331,104,261850.85
721,109,261802.19
98,111,261773.47
7374,104,261769.35
7944,109,261758.98
5557,106,261747.69
9085,113,261738.73
1949,101,261663.99
3823,114,261661.81
5539,104,261659.91
8223,110,261658.13
3345,117,261648.61
618,121,261641.24
9609,107,261632.99
4912,110,261621.23
4055,108,261608.61
2621,113,261605.66
1256,108,261597.76
3137,110,261595.97
9795,115,261592.30
2241,112,261579.85
6920,108,261570.53
4433,107,261562.93
5805,113,261550.77
8210,109,261545.81
3735,111,261545.39
332,110,261500.46
6557,112,261499.25
9380,113,261479.47
1614,112,261449.46
5551,108,261445.62
6882,110,261440.01
4457,103,261423.76
5047,104,261413.02
6058,108,261398.94
2728,109,261391.38
4237,104,261382.18
8164,112,261378.66
6047,108,261360.28
2533,116,261313.24
1490,108,261311.15
994,115,261286.19
6545,118,261283.28
1606,105,261282.68
9940,115,261270.33
4084,112,261268.05
3852,102,261246.85
1413,124,261245.81
3019,111,261244.41
7657,108,261213.55
5292,105,261200.89
4909,109,261189.79
3936,112,261137.73
1874,114,261136.69
9414,93,261133.20
1647,109,261124.06
7048,110,261122.73
5640,113,261112.64
5646,105,261109.04
7513,108,261097.89
5651,116,261093.26
9087,118,261080.07
8543,126,261059.94
8985,103,261044.00
9457,108,261013.68
6736,108,261001.24
3743,100,260989.31
3834,116,260981.53
9477,100,260956.19
5069,106,260947.97
6190,108,260939.28
456,120,260917.43
5343,108,260911.39
2760,114,260909.44
5778,109,260880.98
2866,107,260857.08
5604,118,260850.01
4998,103,260849.00
6208,115,260847.38
6318,107,260838.74
4950,106,260803.72
515,102,260797.40
9057,105,260754.32
3430,102,260750.44
3585,113,260695.42
3704,106,260695.24
3210,118,260671.31
9394,103,260658.40
7549,109,260654.53
4130,104,260632.67
1131,106,260575.82
1700,108,260573.70
437,108,260550.63
4760,107,260549.87
4446,118,260548.64
1494,102,260538.99
9584,113,260507.11
451,110,260505.66
8172,107,260504.56
2132,115,260494.70
3039,111,260482.08
5360,113,260480.23
6579,104,260467.30
7474,116,260463.53
9198,107,260444.07
3133,111,260433.14
2176,101,260428.79
9053,107,260418.72
7966,108,260404.25
8907,110,260400.29
2318,113,260385.15
2143,116,260374.11
307,113,260347.08
3198,109,260340.69
8621,108,260309.75
3990,104,260300.48
5072,107,260268.47
7696,105,260252.86
6725,112,260244.95
4316,108,260241.17
7779,98,260231.45
5615,118,260222.02
1940,111,260187.34
799,108,260169.45
2892,111,260162.30
1910,118,260148.86
8824,111,260138.38
8186,107,260119.06
4792,100,260110.75
1879,116,260110.33
9489,109,260107.21
633,120,260088.04
2165,105,260087.39
1457,105,260080.17
6654,108,260069.49
5521,103,260057.55
9677,106,260047.85
644,113,260033.31
8281,108,259989.63
4378,100,259988.28
4233,114,259978.04
3723,103,259977.37
1489,116,259973.21
2833,108,259968.52
3532,110,259967.80
3689,110,259964.36
1555,110,259953.75
1760,101,259923.13
9396,108,259910.15
8825,106,259907.41
9257,103,259904.41
864,108,259899.32
3326,104,259884.50
1628,110,259846.26
